roll,cp,sp,ep,gp,pp,gems,gem_value,art,art_value,magic,magic_table,magic_2,magic_table_2
1-3,-,-,-,4d6x1000,5d6x100,-,-,-,-,-,-,-,-
4-6,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,-,-,-,-
7-9,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,-,-,-,-
10-12,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,-,-,-,-
13-15,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,-,-,-,-
16-19,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,1d4,A,1d6,B
20-23,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,1d4,A,1d6,B
24-26,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,1d4,A,1d6,B
27-29,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,1d4,A,1d6,B
30-35,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,1d6,C,-,-
36-40,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,1d6,C,-,-
41-45,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,1d6,C,-,-
46-50,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,1d6,C,-,-
51-54,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,1d4,D,-,-
55-58,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,1d4,D,-,-
59-62,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,1d4,D,-,-
63-66,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,1d4,D,-,-
67-68,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,1,E,-,-
69-70,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,1,E,-,-
71-72,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,1,E,-,-
73-74,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,1,E,-,-
75-76,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,1,F,1d4,G
77-78,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,1,F,1d4,G
79-80,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,1,F,1d4,G
81-82,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,1,F,1d4,G
83-85,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,1d4,H,-,-
86-88,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,1d4,H,-,-
89-90,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,1d4,H,-,-
91-92,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,1d4,H,-,-
93-94,-,-,-,4d6x1000,5d6x100,-,-,2d4,250,1,I,-,-
95-96,-,-,-,4d6x1000,5d6x100,-,-,2d4,750,1,I,-,-
96-98,-,-,-,4d6x1000,5d6x100,3d6,500,-,-,1,I,-,-
99-100,-,-,-,4d6x1000,5d6x100,3d6,1000,-,-,1,I,-,-
