roll,cp,sp,ep,gp,pp,gems,gem_value,art,art_value,magic,magic_table
1-4,2d6x100,2d6x1000,-,6d6x100,3d6x10,-,-,-,-,-,-
5-10,2d6x101,2d6x1001,-,6d6x101,3d6x11,-,-,2d4,25,-,-
11-16,2d6x102,2d6x1002,-,6d6x102,3d6x12,3d6,50,-,-,-,-
17-22,2d6x103,2d6x1003,-,6d6x103,3d6x13,3d6,100,-,-,-,-
23-28,2d6x104,2d6x1004,-,6d6x104,3d6x14,-,-,2d4,250,-,-
29-32,2d6x105,2d6x1005,-,6d6x105,3d6x15,-,-,2d4,25,1d6,A
33-36,2d6x106,2d6x1006,-,6d6x106,3d6x16,3d6,50,-,-,1d6,A
37-40,2d6x107,2d6x1007,-,6d6x107,3d6x17,3d6,100,-,-,1d6,A
41-44,2d6x108,2d6x1008,-,6d6x108,3d6x18,-,-,2d4,250,1d6,A
45-49,2d6x109,2d6x1009,-,6d6x109,3d6x19,,,2d4,25,1d4,B
50-54,2d6x110,2d6x1010,-,6d6x110,3d6x20,3d6,50,-,-,1d4,B
55-59,2d6x111,2d6x1011,-,6d6x111,3d6x21,3d6,100,-,-,1d4,B
60-63,2d6x112,2d6x1012,-,6d6x112,3d6x22,-,-,2d4,250,1d4,B
64-66,2d6x113,2d6x1013,-,6d6x113,3d6x23,-,-,2d4,25,1d4,C
67-69,2d6x114,2d6x1014,-,6d6x114,3d6x24,3d6,50,-,-,1d4,C
70-72,2d6x115,2d6x1015,-,6d6x115,3d6x25,3d6,100,-,-,1d4,C
73-74,2d6x116,2d6x1016,-,6d6x116,3d6x26,-,-,2d4,250,1d4,C
75-76,2d6x117,2d6x1017,-,6d6x117,3d6x27,-,-,2d4,25,1,D
77-78,2d6x118,2d6x1018,-,6d6x118,3d6x28,3d6,50,-,-,1,D
79,2d6x119,2d6x1019,-,6d6x119,3d6x29,3d6,100,-,-,1,D
80,2d6x120,2d6x1020,-,6d6x120,3d6x30,-,-,2d4,250,1,D
81-84,2d6x121,2d6x1021,-,6d6x121,3d6x31,-,-,2d4,25,1d4,F
85-88,2d6x122,2d6x1022,-,6d6x122,3d6x32,3d6,50,-,-,1d4,F
89-91,2d6x123,2d6x1023,-,6d6x123,3d6x33,3d6,100,-,-,1d4,F
92-94,2d6x124,2d6x1024,-,6d6x124,3d6x34,-,-,2d4,250,1d4,F
95-96,2d6x125,2d6x1025,-,6d6x125,3d6x35,3d6,100,-,-,1d4,G
97-98,2d6x126,2d6x1026,-,6d6x126,3d6x36,-,-,2d4,250,1d5,G
99,2d6x127,2d6x1027,-,6d6x127,3d6x37,3d6,100,-,-,1,H
100,2d6x128,2d6x1028,-,6d6x128,3d6x38,-,-,2d5,250,1,H
